"Horodateur","Sexe","Votre formation","Niveau d'étude  ","Avez-vous la nationalité marocaine ? ","Que comptez-vous faire après l'obtention de votre diplôme ","Quelle est la durée de trajet de votre domicile à la faculté en minutes ? ","Vous assistez aux cours…  ","Votre entourage que vous fréquentez, est-il composé d'étudiants ayant globalement le même âge que vous ? ","Votre entourage que vous fréquentez, est-il composé d'étudiants ayant le même niveau d'études que vous ? ","Vous vous sentez pleinement intégré(e) à la population étudiante de votre formation et/ou de votre université","Quelle(s) pratique(s) mettez-vous en œuvre pour vos études ? ","Si je dois travailler dur à quelque chose, cela veut dire que je ne suis pas intelligent(e)","J'aime essayer des choses difficiles ","Lorsque je fais une erreur, j'ai honte ou je suis gêné(e) ","J'aime qu'on me dise que je suis intelligent(e)","J'abandonne généralement quand quelque chose devient difficile ou frustrant ","Ça ne me dérange pas de faire des erreurs car elles m'aident à apprendre ","Il y a des choses pour lesquelles je ne serai jamais doué(e) ","Les gens naissent soit stupides, moyens ou intelligents et ils ne peuvent changer cela par la suite ","Je suis fier(e) quand je fais de mon mieux, même si ce n'est pas parfait ","","","","","","","",""
"2024/05/06 4:18:39 PM UTC+1","Masculin","Ingénieur","BAC+4","Oui, seulement celle-ci","Travailler dans le public","Entre 15 et 30","Assez régulièrement","D’âges différents","Issus de différents niveaux d’études","Tout à fait d’accord","Une fois ou deux","Faux","Vrai","Vrai","Faux","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 4:19:10 PM UTC+1","Masculin","Tronc commun","BAC+2","Oui, seulement celle-ci","Travailler dans le public","Entre 30 et 45","Systématiquement","Plus âgé(e)s que vous","Issus de différents niveaux d’études","Plutôt d’accord","Environ une fois par semaine","Faux","Vrai","Faux","Faux","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 4:19:22 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 30 et 45","Systématiquement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Tout à fait d’accord","Presque tous les jours","Faux","Faux","Vrai","Vrai","Vrai","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 4:20:31 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Travailler dans le public","Moins de 15","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Plutôt d’accord","Presque tous les jours","Faux","Vrai","Vrai","Faux","Faux","Vrai","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 4:20:33 PM UTC+1","Masculin","Ingénieur","BAC+5","Non","Travailler dans le privé","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Plutôt d’accord","Presque tous les jours","Faux","Vrai","Faux","Faux","Faux","Faux","Faux","Faux","Vrai","","","","","","","",""
"2024/05/06 4:20:33 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Je ne sais pas","Entre 15 et 30","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Tout à fait d’accord","Presque tous les jours","Faux","Vrai","Vrai","Faux","Faux","Vrai","Faux","Vrai","Vrai","","","","","","","",""
"2024/05/06 4:21:11 PM UTC+1","Féminin","Tronc commun","BAC+1","Oui, seulement celle-ci","Je ne sais pas","plus de 60","Assez régulièrement","Ayant globalement le même âge que vous","Issus de différents niveaux d’études","Plutôt d’accord","Presque tous les jours","Faux","Faux","Vrai","Vrai","Vrai","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 4:22:34 PM UTC+1","Masculin","Ingénieur","BAC+5","Oui, seulement celle-ci","Travailler dans le privé","Entre 30 et 45","Systématiquement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Tout à fait d’accord","Presque tous les jours","Faux","Vrai","Faux","Vrai","Vrai","Vrai","Vrai","Vrai","Vrai","","","","","","","",""
"2024/05/06 4:22:34 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Travailler dans le public","Entre 30 et 45","Assez régulièrement","D’âges différents","Issus de différents niveaux d’études","Plutôt d’accord","Presque tous les jours","Faux","Vrai","Faux","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 4:22:40 PM UTC+1","Féminin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Moins de 15","Assez régulièrement","Ayant globalement le même âge que vous","Ayant le même niveau d’étude que vous","Plutôt d’accord","Presque tous les jours","Faux","Vrai","Vrai","Vrai","Faux","Faux","Vrai","Faux","Vrai","","","","","","","",""
"2024/05/06 4:22:46 PM UTC+1","Masculin","Tronc commun","BAC+2","Oui, seulement celle-ci","Continuer dans un autre parcours de formation","Entre 30 et 45","Assez régulièrement","D’âges différents","Issus de différents niveaux d’études","Plutôt d’accord","Presque tous les jours","Vrai","Vrai","Vrai","Vrai","Faux","Vrai","Vrai","Faux","Vrai","","","","","","","",""
